process_step,Variation,error_rate
step_0,Control,0.15281477922871992
step_0,Test,0.14869859849068226
step_1,Control,0.15583662102576004
step_1,Test,0.14981989593987638
step_2,Control,0.15277118241638965
step_2,Test,0.15366937337214648
step_3,Control,0.14871185685648527
step_3,Test,0.15323304894476875
step_4,Control,0.1488761568973116
step_4,Test,0.15108631826189078
