process_step,Variation,diff_time_seconds
step_0,Control,238.40656705404908
step_0,Test,153.98269456394212
step_1,Control,57.80165428764349
step_1,Test,47.42907087615213
step_2,Control,35.9308706857345
step_2,Test,38.90269374222959
step_3,Control,99.4413103831205
step_3,Test,92.97536697247706
step_4,Control,128.8037661050545
step_4,Test,106.5474344978166
